"","x"
"1",475
"2",480
"3",500
"4",91.5
"5",750
"6",70
"7",100
"8",75
"9",1100
"10",517.143
"11",512.5
"12",550
"13",700
"14",240
"15",775
"16",175
"17",135
"18",100
"19",115
"20",600
"21",776.667
"22",765
"23",708.333
"24",750
"25",625
"26",900
"27",110
"28",612.5
"29",300
"30",850
"31",90
"32",67.5
"33",180
"34",305
"35",215
"36",247.5
"37",815
"38",875
"39",70
"40",1200
"41",675
"42",415
"43",340
"44",416.667
"45",1350
"46",90
"47",275
"48",230
"49",225
"50",950
"51",75
"52",105
"53",320
"54",850
"55",535
"56",933.333
"57",850
"58",210
"59",325
"60",275
"61",450
"62",1975
"63",1900
"64",600
"65",1041.667
"66",110
"67",260
"68",475
"69",431.5
"70",1220
"71",70
"72",145
"73",595
"74",1861.46
"75",300
"76",490
"77",2460
"78",375
"79",750
"80",1175
"81",70
"82",1500
"83",385
"84",1925.571
"85",215
"86",900
"87",155
"88",700
"89",535
"90",362.5
"91",733.333
"92",200
"93",400
"94",400
"95",737.5
"96",500
"97",600
"98",662.5
"99",950
"100",750
"101",297.5
"102",325
"103",87.5
"104",175
"105",90
"106",1237.5
"107",430
"108",100
"109",165
"110",250
"111",1300
"112",773.333
"113",1008.333
"114",275
"115",775
"116",850
"117",365
"118",95
"119",110
"120",100
"121",277.5
"122",80
"123",600
"124",200
"125",657
"126",75
"127",2412.5
"128",250
"129",155
"130",640
"131",300
"132",110
"133",825
"134",195
"135",450
"136",630
"137",86.5
"138",1300
"139",1000
"140",1800
"141",1310
"142",737.5
"143",625
"144",125
"145",1043.333
"146",725
"147",300
"148",365
"149",75
"150",1183.333
"151",202.5
"152",225
"153",525
"154",265
"155",787.5
"156",800
"157",587.5
"158",145
"159",420
"160",75
"161",575
"162",780
"163",90
"164",150
"165",700
"166",550
"167",650
"168",68
"169",100
"170",670
"171",175
"172",137
"173",2127.333
"174",875
"175",120
"176",140
"177",210
"178",800
"179",240
"180",350
"181",175
"182",200
"183",1940
"184",700
"185",750
"186",450
"187",172
"188",1260
"189",750
"190",190
"191",580
"192",130
"193",450
"194",300
"195",250
"196",1050
"197",215
"198",400
"199",560
"200",1670
"201",487.5
"202",425
"203",500
"204",250
"205",400
"206",450
"207",750
"208",70
"209",875
"210",190
"211",191
"212",740
"213",250
"214",140
"215",97.5
"216",740
"217",140
"218",341.667
"219",1000
"220",100
"221",90
"222",200
"223",135
"224",155
"225",475
"226",1450
"227",150
"228",105
"229",350
"230",90
"231",530
"232",341.667
"233",940
"234",350
"235",326.667
"236",250
"237",740
"238",425
"239",925
"240",185
"241",920
"242",286.667
"243",245
"244",235
"245",1150
"246",160
"247",425
"248",900
"249",500
"250",277.5
"251",750
"252",160
"253",1300
"254",525
"255",550
"256",1600
"257",120
"258",165
"259",700
"260",875
"261",385
"262",960
"263",1000
